Mundial
CodigoJugador|Nombre|Ritmo|Regate|Tiro|Defensa|Pase|Fisico
C1|Cristiano Ronaldo|90|90|93|33|82|80
C2|Messi|89|95|90|26|86|61
C3|Suarez|82|86|90|42|79|81
C4|Neymar|92|94|84|30|79|60
C5|Lewandowski|81|86|88|38|75|82
C6|Hazard|90|93|83|32|85|68
C7|De Bruyne|76|87|85|48|90|76
C8|Kroos|50|81|81|73|88|70
C9|Higuain|79|83|87|25|70|74
C10|Aguero|87|89|88|23|75|72
C11|Alexis Sanchez|86|89|84|40|80|78
C12|Dybala|86|91|86|25|84|67
C13|Bale|94|86|87|57|84|76
C14|Modric|73|89|75|72|86|65
C15|Ozil|71|86|74|24|87|58
C16|Kane|73|81|89|42|75|84
C17|Griezmann|86|87|85|30|78|68
C18|Ibrahimovic|65|82|88|32|81|82
C19|Pogba|76|85|79|68|86|88
C20|Kante|82|81|66|82|76|84
C21|Iniesta|71|90|70|58|87|58
C22|Busquets|40|78|62|82|79|81
C23|Coutinho|82|89|80|35|84|65
C24|Casemiro|63|72|69|86|74|87
C25|Isco|71|89|83|54|82|62
C26|James|76|83|85|40|85|68
C27|Salah|93|87|77|45|76|72
